Year,Inflation Rate (%),Annual Change
2022,13.85%,7.20%
2021,6.65%,3.89%
2020,2.76%,0.15%
2019,2.61%,0.34%
2018,2.27%,-10.67%
2017,12.94%,0.49%
2016,12.44%,8.42%
2015,4.03%,2.65%
2014,1.37%,-1.04%
2013,2.42%,1.35%
2012,1.07%,-6.79%
2011,7.86%,2.13%
2010,5.73%,4.27%
2009,1.46%,-19.39%
2008,20.85%,4.15%
2007,16.70%,8.37%
2006,8.33%,-1.35%
2005,9.68%,2.97%
2004,6.71%,4.48%
2003,2.23%,-0.54%
2002,2.77%,1.22%
2001,1.55%,-0.26%
2000,1.81%,10.33%
1999,-8.53%,-7.75%
1998,-0.77%,-4.45%
1997,3.67%,-16.12%
1996,19.79%,-391.96%
1995,411.76%,-1250.46%
1994,"1,662.22%",534.22%
1993,"1,128.00%",1138.63%
1992,-10.63%,-10.63%
1991,0.00%,0.00%
1990,0.00%,0.00%
1989,0.00%,0.00%
1988,0.00%,0.00%
1987,0.00%,0.00%
1986,0.00%,0.00%
1985,0.00%,0.00%
1984,0.00%,0.00%
1983,0.00%,0.00%
1982,0.00%,0.00%
1981,0.00%,0.00%
1980,0.00%,0.00%
1979,0.00%,0.00%
1978,0.00%,0.00%
1977,0.00%,0.00%
1976,0.00%,0.00%
1975,0.00%,0.00%
1974,0.00%,0.00%
1973,0.00%,0.00%
1972,0.00%,0.00%
1971,0.00%,0.00%
1970,0.00%,0.00%
1969,0.00%,0.00%
1968,0.00%,0.00%
1967,0.00%,0.00%
1966,0.00%,0.00%
1965,0.00%,0.00%
1964,0.00%,0.00%
1963,0.00%,0.00%
1962,0.00%,0.00%
1961,0.00%,0.00%
1960,0.00%,0.00%
